Region,Country
TAM,Jamaica
Connacht,Paraguay
O,"Korea, North"
Angus,Seychelles
Mic,Kuwait
JUN,Isle of Man
Wie,Zambia
KN,Azerbaijan
NSW,Kenya
Östergötlands län,Guadeloupe
Noord Brabant,Sri Lanka
łódzkie,Sudan
ON,Guadeloupe
KT,Saint Barthélemy
Rostov Oblast,Dominican Republic
E,South Africa
MA,Sao Tome and Principe
LA,New Zealand
North Jeolla,Zambia
Vienna,Aruba
Baja California,Turkey
Gyeonggi,Ukraine
KS,Martinique
LA,Isle of Man
South Sumatra,Russian Federation
N.,"Congo, the Democratic Republic of the"
Dalarnas län,Svalbard and Jan Mayen Islands
South Island,Jordan
JUN,Panama
Oklahoma,Saint Lucia
San Luis Potosí,Papua New Guinea
Dalarnas län,United Kingdom (Great Britain)
Vienna,"Virgin Islands, British"
Gävleborgs län,Bosnia and Herzegovina
AN,Guatemala
Cumberland,Mayotte
MI,Saint Barthélemy
V,Zimbabwe
Mersin,Anguilla
Mexico City,Taiwan
CV,Antarctica
Wielkopolskie,United Arab Emirates
Kirkcudbrightshire,Hong Kong
Metropolitana de Santiago,Romania
ARE,Swaziland
AP,Poland
II,Mauritius
SL,"Virgin Islands, British"
Ceará,Angola
Nord-Pas-de-Calais,Cambodia
Gl,Svalbard and Jan Mayen Islands
BC,Saint Martin
Quebec,Kiribati
NI,Åland Islands
Punjab,Colombia
Ist,Sri Lanka
Maine,Switzerland
Brecknockshire,Reunion
Noord Holland,Bahamas
Wie,Puerto Rico
Trentino-Alto Adige,India
Puglia,Botswana
Emilia-Romagna,French Polynesia
KN,Belgium
Piura,Guyana
CAL,Grenada
Antioquia,Hong Kong
Istanbul,Vanuatu
NW,Libya
Berlin,Maldives
Bahia,Greenland
LA,Chad
Guerrero,New Zealand
Luik,"Saint Helena, Ascension and Tristan da Cunha"
LAM,Iraq
Ulster,Gibraltar
LOM,Dominican Republic
North Island,Spain
Chu,Gambia
Şan,Syria
Kano,Tajikistan
BEL,Eritrea
AK,Mauritania
Vienna,Syria
GA,Latvia
Zl,Sint Maarten
Araucanía,South Africa
Utrecht,Algeria
BE,Uzbekistan
Noord Holland,Macedonia
South Gyeongsang,Saint Pierre and Miquelon
O,Bosnia and Herzegovina
ON,Liechtenstein
Saarland,Finland
NI,Cook Islands
SI,Mauritius
U,Comoros
Punjab,Brunei
Emilia-Romagna,"Korea, North"
O,Martinique
